ContainerID,Capacity (Mt),Shipping Status,Allocated (Mt)
C872,90,0,90.0
C873,20,0,20.0
C874,70,0,70.0
C875,70,0,70.0
C876,20,0,20.0
C880,100,0,100.0
C881,90,0,90.0
C882,20,0,20.0
C883,20,0,20.0
C884,90,0,90.0
C885,70,0,70.0
C886,30,0,30.0
C888,60,0,60.0
C893,80,0,80.0
C899,100,0,100.0
C900,40,0,40.0
C901,20,0,20.0
C904,80,0,80.0
C905,30,0,30.0
C909,40,0,40.0
C910,90,0,90.0
C911,100,0,100.0
C913,60,0,60.0
C915,80,0,80.0
C916,50,0,50.0
C917,70,0,70.0
C918,20,0,20.0
C920,20,0,20.0
C921,70,0,70.0
C924,30,0,30.0
C925,70,0,70.0
C927,80,0,80.0
C928,40,0,40.0
C930,70,0,70.0
C931,100,0,100.0
C932,60,0,60.0
C934,50,0,50.0
C936,40,0,40.0
C938,20,0,20.0
C941,20,0,20.0
C945,100,0,100.0
C946,20,0,20.0
C947,100,0,100.0
C950,40,0,40.0
C954,30,0,30.0
C955,40,0,40.0
C959,90,0,90.0
C960,100,0,100.0
C965,30,0,30.0
C966,30,0,30.0
C967,90,0,90.0
C969,60,0,60.0
C973,80,0,80.0
C974,100,0,100.0
C975,60,0,60.0
C980,30,0,30.0
C981,100,0,100.0
C988,30,0,30.0
C989,70,0,70.0
C993,50,0,50.0
C995,40,0,40.0
C996,30,0,30.0
C998,100,0,100.0
C999,50,0,50.0
C1000,90,0,90.0
C1001,60,0,60.0
C1004,30,0,30.0
C1009,60,0,60.0
C1011,60,0,60.0
C1012,70,0,70.0
C1015,80,0,80.0
C1016,60,0,60.0
C1017,30,0,30.0
C1019,50,0,50.0
C1020,70,0,70.0
C1022,70,0,70.0
C1025,30,0,30.0
C1028,30,0,30.0
C1031,30,0,30.0
C1032,80,0,80.0
C1034,70,0,70.0
C1037,80,0,80.0
C1038,50,0,50.0
C1039,20,0,20.0
C1040,20,0,20.0
C1041,50,0,50.0
C1042,90,0,90.0
C1045,60,0,60.0
C1046,100,0,100.0
C1048,40,0,40.0
C1051,30,0,30.0
C1052,90,0,90.0
C1055,80,0,80.0
C1056,70,0,70.0
C1058,50,0,50.0
C1059,70,0,70.0
C1060,30,0,30.0
C1066,80,0,80.0
C1068,80,0,80.0
C1070,100,0,100.0
C1071,60,0,60.0
C1072,40,0,40.0
C1075,20,0,20.0
C1079,50,0,50.0
C1081,70,0,70.0
C1083,60,0,60.0
C1084,60,0,60.0
C1087,80,0,80.0
C1088,100,0,100.0
C1089,40,0,40.0
C1090,40,0,40.0
C1094,30,0,30.0
C1095,100,0,100.0
C1097,30,0,30.0
C1099,70,0,70.0
C1104,60,0,60.0
C1105,40,0,40.0
C1107,50,0,50.0
C1108,30,0,30.0
C1109,40,0,40.0
C1113,70,0,70.0
C1122,80,0,80.0
C1124,70,0,70.0
C1126,40,0,40.0
C1129,40,0,40.0
C1130,100,0,100.0
C1133,70,0,70.0
C1134,80,0,80.0
C1136,40,0,40.0
C1137,70,0,70.0
C1138,100,0,100.0
C1139,50,0,50.0
C1140,30,0,30.0
C1141,100,0,100.0
C1144,40,0,40.0
C1146,50,0,50.0
C1147,60,0,60.0
C1148,80,0,80.0
C1151,30,0,30.0
C1153,60,0,60.0
C1155,70,0,70.0
C1157,90,0,90.0
C1161,90,0,90.0
C1163,100,0,100.0
C1166,40,0,40.0
C1169,30,0,30.0
C1170,90,0,90.0
C1171,50,0,50.0
C1175,70,0,70.0
C1180,20,0,20.0
C1182,100,0,100.0
C1183,20,0,20.0
C1185,50,0,50.0
C1190,20,0,20.0
C1193,90,0,90.0
C1194,60,0,60.0
C1195,80,0,80.0
C1197,40,0,40.0
C1204,20,0,20.0
C1209,80,0,80.0
C1210,90,0,90.0
C1211,60,0,60.0
C1212,60,0,60.0
C1213,90,0,90.0
C1216,50,0,50.0
C1217,60,0,60.0
C1221,90,0,90.0
C1223,80,0,80.0
C1226,50,0,50.0
C1227,20,0,20.0
C1228,50,0,50.0
C1230,30,0,30.0
C1233,20,0,20.0
C1235,20,0,20.0
C1237,30,0,30.0
C1239,100,0,100.0
C1240,100,0,100.0
C1241,90,0,90.0
C1243,80,0,80.0
C1245,100,0,100.0
C1246,30,0,30.0
C1248,90,0,90.0
C1249,70,0,70.0
C1250,90,0,90.0
C1251,40,0,40.0
C1252,40,0,40.0
C1253,100,0,100.0
C1258,70,0,70.0
C1259,50,0,50.0
C1263,80,0,80.0
C1264,50,0,50.0
C1265,70,0,70.0
C1268,70,0,70.0
C1269,100,0,100.0
C1274,80,0,80.0
C1276,50,0,50.0
C1278,80,0,80.0
C1279,30,0,30.0
C1284,40,0,40.0
C1287,90,0,90.0
C1288,20,0,20.0
C1289,20,0,20.0
C1291,90,0,90.0
C1295,20,0,20.0
C1296,70,0,70.0
C1299,90,0,90.0
C1301,80,0,80.0
C1302,60,0,60.0
C1306,20,0,20.0
C1309,80,0,80.0
C1311,20,0,20.0
C1315,20,0,20.0
C1316,70,0,70.0
C1320,90,0,90.0
C1321,40,0,40.0
C1323,90,0,90.0
C1326,60,0,60.0
C1327,90,0,90.0
C1328,100,0,100.0
C1331,100,0,100.0
C1332,50,0,50.0
C1334,90,0,90.0
C1335,70,0,70.0
C1338,80,0,80.0
C1342,40,0,40.0
C1343,60,0,60.0
C1347,40,0,40.0
C1349,30,0,30.0
C1352,30,0,30.0
C1355,90,0,90.0
C1356,20,0,20.0
C1359,60,0,60.0
C1361,90,0,90.0
C1362,90,0,90.0
C1364,50,0,50.0
C1365,50,0,50.0
C1373,40,0,40.0
C1375,70,0,70.0
C1377,20,0,20.0
C1379,50,0,50.0
C1380,30,0,30.0
C1383,60,0,60.0
C1384,90,0,90.0
C1385,60,0,60.0
C1388,70,0,70.0
C1389,80,0,80.0
C1390,20,0,20.0
C1392,80,0,80.0
C1393,100,0,100.0
C1398,40,0,40.0
C1399,30,0,30.0
C1400,50,0,50.0
C1402,80,0,80.0
C1403,50,0,50.0
C1404,80,0,80.0
C1405,100,0,100.0
C1408,60,0,60.0
C1411,70,0,70.0
C1412,30,0,30.0
C1413,80,0,80.0
C1416,90,0,90.0
C1417,60,0,60.0
C1419,20,0,20.0
C1420,50,0,50.0
C1423,100,0,100.0
C1431,40,0,40.0
C1432,100,0,100.0
C1435,50,0,50.0
C1436,50,0,50.0
C1441,50,0,50.0
C1442,20,0,20.0
C1444,50,0,50.0
C1445,70,0,70.0
C1446,90,0,90.0
C1449,50,0,50.0
C1450,60,0,60.0
C1451,40,0,40.0
C1455,20,0,20.0
C1457,80,0,80.0
C1458,80,0,80.0
C1459,40,0,40.0
C1462,70,0,70.0
C1463,50,0,50.0
C1464,30,0,30.0
C1466,30,0,30.0
C1467,20,0,20.0
C1468,40,0,40.0
C1471,20,0,20.0
C1473,80,0,80.0
C1474,100,0,100.0
C1475,20,0,20.0
C1476,100,0,100.0
C1477,40,0,40.0
C1478,30,0,30.0
C1480,70,0,70.0
C1481,90,0,90.0
C1484,90,0,90.0
C1486,40,0,40.0
C1488,50,0,50.0
C1489,50,0,50.0
C1491,20,0,20.0
C1495,40,0,40.0
C1496,50,0,50.0
C1497,40,0,40.0
C1498,90,0,90.0
C1501,80,0,80.0
C1504,60,0,60.0
C1505,30,0,30.0
C1507,60,0,60.0
C1510,20,0,20.0
C1511,60,0,60.0
C1512,90,0,90.0
C1513,60,0,60.0
C1514,70,0,70.0
C1519,40,0,40.0
C1525,90,0,90.0
C1528,100,0,100.0
C1529,60,0,60.0
C1534,80,0,80.0
C1536,90,0,90.0
C1540,30,0,30.0
C1542,80,0,80.0
C1543,90,0,90.0
C1545,40,0,40.0
C1546,60,0,60.0
C1549,50,0,50.0
C1550,40,0,40.0
C1552,100,0,100.0
C1553,20,0,20.0
C1554,20,0,20.0
C1555,80,0,80.0
C1556,100,0,100.0
C1557,20,0,20.0
C1558,40,0,40.0
C1559,100,0,100.0
C1561,60,0,60.0
C1562,60,0,60.0
C1566,80,0,80.0
C1567,90,0,90.0
C1571,40,0,40.0
C1573,100,0,100.0
C1578,50,0,50.0
C1581,60,0,60.0
C1583,30,0,30.0
C1584,80,0,80.0
C1586,30,0,30.0
C1588,70,0,70.0
C1589,70,0,70.0
C1590,30,0,30.0
C1591,100,0,100.0
C1593,60,0,60.0
C1594,70,0,70.0
C1597,50,0,50.0
C1598,70,0,70.0
C1599,90,0,90.0
C1601,40,0,40.0
C1602,20,0,20.0
C1603,100,0,100.0
C1605,90,0,90.0
C1606,80,0,80.0
C1608,70,0,70.0
C1609,90,0,90.0
C1610,70,0,70.0
C1613,30,0,30.0
C1615,60,0,60.0
C1616,40,0,40.0
C1621,80,0,80.0
C1622,50,0,50.0
C1624,30,0,30.0
C1625,20,0,20.0
C1626,70,0,70.0
C1631,50,0,50.0
C1633,100,0,100.0
C1634,80,0,80.0
C1637,30,0,30.0
C1640,30,0,30.0
C1647,40,0,40.0
C1648,70,0,70.0
C1650,40,0,40.0
C1651,90,0,90.0
C1652,100,0,100.0
C1653,100,0,100.0
C1654,30,0,30.0
C1655,40,0,40.0
C1658,20,0,20.0
C1659,60,0,60.0
C1660,100,0,100.0
C1663,70,0,70.0
C1665,90,0,90.0
C1666,40,0,40.0
C1668,20,0,20.0
C1669,20,0,20.0
C1670,80,0,80.0
C1672,20,0,20.0
C1673,40,0,40.0
C1676,30,0,30.0
C1677,50,0,50.0
C1679,30,0,30.0
C1680,70,0,70.0
C1681,90,0,90.0
C1682,100,0,100.0
C1683,80,0,80.0
C1684,70,0,70.0
C1689,70,0,70.0
C1690,70,0,70.0
C1691,90,0,90.0
C1693,70,0,70.0
C1696,50,0,50.0
C1698,100,0,100.0
C1699,60,0,60.0
C1701,60,0,60.0
C1703,30,0,30.0
C1706,90,0,90.0
C1707,20,0,20.0
C1711,80,0,80.0
C1716,70,0,70.0
C1718,70,0,70.0
C1721,90,0,90.0
C1722,100,0,100.0
C1724,20,0,20.0
C1730,100,0,100.0
C1734,30,0,30.0
C1736,20,0,20.0
C1737,60,0,60.0
C1738,40,0,40.0
C1739,60,0,60.0
C1740,70,0,70.0
C1741,30,0,30.0
C1745,70,0,70.0
C1746,30,0,30.0
C1747,60,0,60.0
C1753,20,0,20.0
C1757,30,0,30.0
C1759,50,0,50.0
C1763,20,0,20.0
C1764,30,0,30.0
C1765,50,0,50.0
C1766,60,0,60.0
C1768,90,0,90.0
C1771,100,0,100.0
C1772,40,0,40.0
C1775,100,0,100.0
C1777,80,0,80.0
C1779,80,0,80.0
C1780,30,0,30.0
C1783,60,0,60.0
C1784,60,0,60.0
C1789,30,0,30.0
C1791,40,0,40.0
C1792,90,0,90.0
C1794,100,0,100.0
C1798,100,0,100.0
C1801,80,0,80.0
C1802,80,0,80.0
C1803,20,0,20.0
C1805,30,0,30.0
C1806,40,0,40.0
C1808,50,0,50.0
C1809,100,0,100.0
C1810,20,0,20.0
C1811,50,0,50.0
C1812,20,0,20.0
C1813,20,0,20.0
C1814,70,0,70.0
C1816,90,0,90.0
C1817,80,0,80.0
C1818,60,0,60.0
C1819,70,0,70.0
C1820,90,0,90.0
C1822,90,0,90.0
C1823,30,0,30.0
C1824,90,0,90.0
C1826,70,0,70.0
C1829,100,0,100.0
C1830,50,0,50.0
C1838,30,0,30.0
C1840,20,0,20.0
C1843,70,0,70.0
C1844,70,0,70.0
C1846,90,0,90.0
C1847,80,0,80.0
C1848,20,0,20.0
C1852,100,0,100.0
C1854,30,0,30.0
C1858,60,0,60.0
C1859,60,0,60.0
C1860,50,0,50.0
C1862,70,0,70.0
C1863,30,0,30.0
C1866,100,0,100.0
C1867,100,0,100.0
C1868,80,0,80.0
C1871,20,0,20.0
C1873,40,0,40.0
C1875,90,0,90.0
C1876,60,0,60.0
C1877,50,0,50.0
C1878,50,0,50.0
C1879,20,0,20.0
C1880,90,0,90.0
C1882,40,0,40.0
C1883,20,0,20.0
C1885,80,0,80.0
C1886,40,0,40.0
C1887,20,0,20.0
C1888,100,0,100.0
C1889,100,0,100.0
C1893,100,0,100.0
C1894,100,0,100.0
C1896,60,0,60.0
C1899,100,0,100.0
C1902,90,0,90.0
C1903,70,0,70.0
C1905,50,0,50.0
C1906,30,0,30.0
C1907,50,0,50.0
C1909,70,0,70.0
C1910,80,0,80.0
C1911,20,0,20.0
C1912,30,0,30.0
C1914,100,0,100.0
C1915,90,0,90.0
C1916,70,0,70.0
C1917,100,0,100.0
C1918,20,0,20.0
C1919,90,0,90.0
C1920,80,0,80.0
C1921,40,0,40.0
C1922,60,0,60.0
C1923,80,0,80.0
C1925,20,0,20.0
C1926,20,0,20.0
C1928,20,0,20.0
C1929,90,0,90.0
C1931,40,0,40.0
C1934,100,0,100.0
C1936,80,0,80.0
C1937,40,0,40.0
C1938,100,0,100.0
C1940,70,0,70.0
C1941,80,0,80.0
C1942,50,0,50.0
C1944,30,0,30.0
C1946,30,0,30.0
C1949,30,0,30.0
C1951,40,0,40.0
C1952,80,0,80.0
C1954,20,0,20.0
C1955,40,0,40.0
C1956,30,0,30.0
C1958,20,0,20.0
C1961,20,0,20.0
C1962,100,0,100.0
C1963,40,0,40.0
C1970,70,0,70.0
C1972,40,0,40.0
C1975,40,0,40.0
C1976,30,0,30.0
C1978,90,0,90.0
C1980,50,0,50.0
C1981,80,0,80.0
C1982,100,0,100.0
C1983,40,0,40.0
C1984,100,0,100.0
C1986,90,0,90.0
C1988,100,0,100.0
C1990,30,0,30.0
C1991,90,0,90.0
C1992,100,0,100.0
C1994,40,0,40.0
C1996,90,0,90.0
C1997,40,0,40.0
C1998,70,0,70.0
C1999,80,0,80.0
C2001,40,0,40.0
C2003,40,0,40.0
C2008,70,0,70.0
C2009,30,0,30.0
C2011,50,0,50.0
C2012,50,0,50.0
C2016,100,0,100.0
C2017,70,0,70.0
C2020,20,0,20.0
C2021,90,0,90.0
C2022,70,0,70.0
C2023,50,0,50.0
C2025,30,0,30.0
C2026,20,0,20.0
C2028,40,0,40.0
C2030,100,0,100.0
C2031,90,0,90.0
C2032,80,0,80.0
C2034,80,0,80.0
C2035,30,0,30.0
C2036,90,0,90.0
C2038,50,0,50.0
C2040,90,0,90.0
C2043,40,0,40.0
C2044,80,0,80.0
C2047,40,0,40.0
C2050,40,0,40.0
C2055,80,0,80.0
C2057,70,0,70.0
C2058,20,0,20.0
C2059,50,0,50.0
C2061,80,0,80.0
C2063,70,0,70.0
C2065,30,0,30.0
C2066,20,0,20.0
C2069,80,0,80.0
C2070,100,0,100.0
C2072,60,0,60.0
C2073,50,0,50.0
C2075,50,0,50.0
C2076,50,0,50.0
C2078,50,0,50.0
C2079,20,0,20.0
C2080,30,0,30.0
C2081,90,0,90.0
C2084,60,0,60.0
C2085,90,0,90.0
C2086,40,0,40.0
C2090,90,0,90.0
C2091,100,0,100.0
C2093,80,0,80.0
C2094,90,0,90.0
C2096,80,0,80.0
C2098,50,0,50.0
C2100,90,0,90.0
C2101,70,0,70.0
C2103,100,0,100.0
C2104,60,0,60.0
C2105,60,0,60.0
C2107,70,0,70.0
C2109,80,0,80.0
C2113,20,0,20.0
C2114,40,0,40.0
C2116,20,0,20.0
C2117,70,0,70.0
C2119,20,0,20.0
C2120,80,0,80.0
C2121,70,0,70.0
C2122,30,0,30.0
C2126,40,0,40.0
C2129,50,0,50.0
