Vessel_ID,Timestamp_Entry,Timestamp_Exit,Containers_Unloaded (TEUs),Containers_Loaded (TEUs),Time,Time_in_Hours,Entry_Day,Exit_Day
V0046,2023-09-20 22:37:27.553084,2023-10-26 10:37:27.558593,4167,3185,35 days 12:00:00.005509,852.0000015302777,20,26
V0047,2023-08-31 00:37:27.553084,2023-10-26 23:37:27.558593,1111,3463,56 days 23:00:00.005509,1367.0000015302778,31,26
V0048,2023-09-29 14:37:27.553084,2023-10-28 01:37:27.558593,269,2948,28 days 11:00:00.005509,683.0000015302777,29,28
V0049,2023-09-25 18:37:27.553084,2023-10-25 00:37:27.558593,2833,2887,29 days 06:00:00.005509,702.0000015302777,25,25
V0050,2023-09-16 21:37:27.553084,2023-10-15 12:37:27.558593,2092,4344,28 days 15:00:00.005509,687.0000015302777,16,15
V0051,2023-09-26 22:37:27.553084,2023-10-22 16:37:27.558593,2493,2310,25 days 18:00:00.005509,618.0000015302777,26,22
V0052,2023-09-15 15:37:27.553084,2023-10-08 13:37:27.558593,3414,3699,22 days 22:00:00.005509,550.0000015302778,15,8
V0053,2023-09-06 10:37:27.553084,2023-11-02 01:37:27.558593,1193,2101,56 days 15:00:00.005509,1359.0000015302778,6,2
V0054,2023-09-14 18:37:27.553084,2023-11-03 06:37:27.558593,3687,2548,49 days 12:00:00.005509,1188.0000015302778,14,3
V0055,2023-09-09 10:37:27.553084,2023-10-15 03:37:27.558593,3654,2099,35 days 17:00:00.005509,857.0000015302777,9,15
V0056,2023-09-08 01:37:27.553084,2023-10-17 01:37:27.558593,1340,1477,39 days 00:00:00.005509,936.0000015302777,8,17
V0057,2023-09-20 08:37:27.553084,2023-10-09 01:37:27.558593,1329,2470,18 days 17:00:00.005509,449.0000015302778,20,9
V0058,2023-09-26 23:37:27.553084,2023-10-07 20:37:27.558593,4365,1920,10 days 21:00:00.005509,261.0000015302778,26,7
V0059,2023-09-03 10:37:27.553084,2023-10-29 08:37:27.558593,3513,4453,55 days 22:00:00.005509,1342.0000015302778,3,29
V0060,2023-09-21 10:37:27.553084,2023-11-01 04:37:27.558593,127,4262,40 days 18:00:00.005509,978.0000015302777,21,1
V0061,2023-09-01 07:37:27.553084,2023-10-22 05:37:27.558593,1072,391,50 days 22:00:00.005509,1222.0000015302778,1,22
V0062,2023-09-16 20:37:27.553084,2023-10-04 09:37:27.558593,1507,2273,17 days 13:00:00.005509,421.0000015302778,16,4
V0063,2023-09-21 19:37:27.553084,2023-10-02 16:37:27.558593,4051,1262,10 days 21:00:00.005509,261.0000015302778,21,2
V0064,2023-09-11 00:37:27.553084,2023-10-17 20:37:27.558593,1057,4506,36 days 20:00:00.005509,884.0000015302777,11,17
V0065,2023-08-30 08:37:27.553084,2023-10-20 23:37:27.558593,3436,4208,51 days 15:00:00.005509,1239.0000015302778,30,20
V0066,2023-09-26 10:37:27.553084,2023-10-30 19:37:27.558593,3052,2654,34 days 09:00:00.005509,825.0000015302777,26,30
V0067,2023-08-29 03:37:27.553084,2023-10-20 08:37:27.558593,225,353,52 days 05:00:00.005509,1253.0000015302778,29,20
V0068,2023-09-13 08:37:27.553084,2023-10-13 17:37:27.558593,90,3678,30 days 09:00:00.005509,729.0000015302777,13,13
V0069,2023-09-05 07:37:27.553084,2023-10-27 16:37:27.558593,3778,701,52 days 09:00:00.005509,1257.0000015302778,5,27
V0070,2023-09-16 01:37:27.553084,2023-10-05 04:37:27.558593,1689,97,19 days 03:00:00.005509,459.0000015302778,16,5
V0071,2023-09-02 07:37:27.553084,2023-10-28 10:37:27.558593,2499,563,56 days 03:00:00.005509,1347.0000015302778,2,28
V0072,2023-09-18 21:37:27.553084,2023-10-30 20:37:27.558593,1394,2389,41 days 23:00:00.005509,1007.0000015302777,18,30
V0073,2023-08-29 03:37:27.553084,2023-10-22 04:37:27.558593,2306,1996,54 days 01:00:00.005509,1297.0000015302778,29,22
V0074,2023-09-20 22:37:27.553084,2023-10-27 22:37:27.558593,4250,1710,37 days 00:00:00.005509,888.0000015302777,20,27
V0075,2023-09-07 10:37:27.553084,2023-10-12 16:37:27.558593,2526,1924,35 days 06:00:00.005509,846.0000015302777,7,12
V0076,2023-09-19 23:37:27.553084,2023-10-15 09:37:27.558593,3422,950,25 days 10:00:00.005509,610.0000015302777,19,15
V0077,2023-09-15 21:37:27.553084,2023-10-13 05:37:27.558593,1526,717,27 days 08:00:00.005509,656.0000015302777,15,13
V0078,2023-09-08 09:37:27.553084,2023-10-30 19:37:27.558593,2651,2776,52 days 10:00:00.005509,1258.0000015302778,8,30
V0079,2023-09-07 00:37:27.553084,2023-10-10 10:37:27.558593,848,1488,33 days 10:00:00.005509,802.0000015302777,7,10
V0080,2023-09-29 09:37:27.553084,2023-10-31 00:37:27.558593,3035,4218,31 days 15:00:00.005509,759.0000015302777,29,31
V0081,2023-09-10 11:37:27.553084,2023-10-19 09:37:27.558593,4554,4263,38 days 22:00:00.005509,934.0000015302777,10,19
V0082,2023-09-17 19:37:27.553084,2023-10-04 09:37:27.558593,1845,2268,16 days 14:00:00.005509,398.0000015302778,17,4
V0083,2023-09-07 02:37:27.553084,2023-10-12 01:37:27.558593,1745,1362,34 days 23:00:00.005509,839.0000015302777,7,12
V0084,2023-08-28 20:37:27.553084,2023-10-27 06:37:27.558593,3767,2209,59 days 10:00:00.005509,1426.0000015302778,28,27
V0085,2023-09-14 06:37:27.553084,2023-10-17 11:37:27.558593,3656,3444,33 days 05:00:00.005509,797.0000015302777,14,17
V0086,2023-09-20 00:37:27.553084,2023-10-14 23:37:27.558593,1553,723,24 days 23:00:00.005509,599.0000015302777,20,14
V0087,2023-08-30 23:37:27.553084,2023-10-20 18:37:27.558593,1868,3249,50 days 19:00:00.005509,1219.0000015302778,30,20
V0088,2023-09-08 23:37:27.553084,2023-10-13 14:37:27.558593,2272,3462,34 days 15:00:00.005509,831.0000015302777,8,13
V0089,2023-09-21 16:37:27.553084,2023-10-08 00:37:27.558593,216,2429,16 days 08:00:00.005509,392.0000015302778,21,8
V0090,2023-09-05 06:37:27.553084,2023-10-11 11:37:27.558593,804,894,36 days 05:00:00.005509,869.0000015302777,5,11
V0091,2023-09-26 06:37:27.553084,2023-10-08 22:37:27.558593,3256,638,12 days 16:00:00.005509,304.0000015302778,26,8
V0092,2023-09-04 08:37:27.553084,2023-10-16 15:37:27.558593,412,225,42 days 07:00:00.005509,1015.0000015302777,4,16
V0093,2023-09-22 06:37:27.553084,2023-10-10 23:37:27.558593,3004,1658,18 days 17:00:00.005509,449.0000015302778,22,10
V0094,2023-09-14 22:37:27.553084,2023-10-14 08:37:27.558593,522,1498,29 days 10:00:00.005509,706.0000015302777,14,14
V0095,2023-09-10 09:37:27.553084,2023-10-02 17:37:27.558593,3607,4184,22 days 08:00:00.005509,536.0000015302778,10,2
V0096,2023-09-20 07:37:27.553084,2023-10-10 09:37:27.558593,339,4020,20 days 02:00:00.005509,482.0000015302778,20,10
V0097,2023-09-05 08:37:27.553084,2023-10-30 14:37:27.558593,890,2957,55 days 06:00:00.005509,1326.0000015302778,5,30
V0098,2023-09-07 07:37:27.553084,2023-10-25 16:37:27.558593,2115,2913,48 days 09:00:00.005509,1161.0000015302778,7,25
V0099,2023-09-24 18:37:27.553084,2023-10-21 09:37:27.558593,2816,2674,26 days 15:00:00.005509,639.0000015302777,24,21
V0100,2023-09-12 04:37:27.553084,2023-10-02 05:37:27.558593,1748,3570,20 days 01:00:00.005509,481.0000015302778,12,2
V0101,2023-09-30 11:37:27.553084,2023-10-16 08:37:27.558593,3030,34,15 days 21:00:00.005509,381.0000015302778,30,16
V0102,2023-09-23 20:37:27.553084,2023-10-01 13:37:27.558593,102,2120,7 days 17:00:00.005509,185.00000153027779,23,1
V0103,2023-09-07 18:37:27.553084,2023-10-28 01:37:27.558593,2857,522,50 days 07:00:00.005509,1207.0000015302778,7,28
V0104,2023-09-04 08:37:27.553084,2023-10-13 07:37:27.558593,1836,2800,38 days 23:00:00.005509,935.0000015302777,4,13
V0105,2023-08-29 15:37:27.553084,2023-10-12 20:37:27.558593,1750,291,44 days 05:00:00.005509,1061.0000015302778,29,12
V0106,2023-09-27 14:37:27.553084,2023-10-24 18:37:27.558593,1624,352,27 days 04:00:00.005509,652.0000015302777,27,24
V0107,2023-09-27 22:37:27.553084,2023-10-18 21:37:27.558593,1538,864,20 days 23:00:00.005509,503.0000015302778,27,18
V0108,2023-09-19 18:37:27.553084,2023-11-02 11:37:27.558593,2785,3388,43 days 17:00:00.005509,1049.0000015302778,19,2
V0109,2023-09-09 07:37:27.553084,2023-10-23 18:37:27.558593,1942,2502,44 days 11:00:00.005509,1067.0000015302778,9,23
V0110,2023-09-04 13:37:27.553084,2023-10-11 05:37:27.558593,3199,4115,36 days 16:00:00.005509,880.0000015302777,4,11
V0111,2023-09-07 19:37:27.553084,2023-10-20 13:37:27.558593,510,3366,42 days 18:00:00.005509,1026.0000015302778,7,20
V0112,2023-09-10 19:37:27.553084,2023-10-20 13:37:27.558593,970,3258,39 days 18:00:00.005509,954.0000015302777,10,20
V0113,2023-09-12 12:37:27.553084,2023-10-03 10:37:27.558593,1078,3192,20 days 22:00:00.005509,502.0000015302778,12,3
V0114,2023-09-15 12:37:27.553084,2023-10-04 16:37:27.558593,4183,2105,19 days 04:00:00.005509,460.0000015302778,15,4
V0115,2023-08-29 17:37:27.553084,2023-10-31 22:37:27.558593,3453,2332,63 days 05:00:00.005509,1517.0000015302778,29,31
V0116,2023-09-29 17:37:27.553084,2023-10-06 17:37:27.558593,2693,1286,7 days 00:00:00.005509,168.00000153027779,29,6
V0117,2023-09-05 04:37:27.553084,2023-11-01 11:37:27.558593,2998,2430,57 days 07:00:00.005509,1375.0000015302778,5,1
V0118,2023-09-19 19:37:27.553084,2023-10-18 08:37:27.558593,3695,1887,28 days 13:00:00.005509,685.0000015302777,19,18
V0119,2023-09-03 15:37:27.553084,2023-10-20 01:37:27.558593,4001,1990,46 days 10:00:00.005509,1114.0000015302778,3,20
V0120,2023-09-05 03:37:27.553084,2023-10-09 03:37:27.558593,3801,3251,34 days 00:00:00.005509,816.0000015302777,5,9
V0121,2023-09-09 01:37:27.553084,2023-10-11 17:37:27.558593,4083,2986,32 days 16:00:00.005509,784.0000015302777,9,11
V0122,2023-09-02 08:37:27.553084,2023-10-03 03:37:27.558593,1405,3795,30 days 19:00:00.005509,739.0000015302777,2,3
V0123,2023-09-10 23:37:27.553084,2023-10-18 07:37:27.558593,317,3809,37 days 08:00:00.005509,896.0000015302777,10,18
V0124,2023-08-31 21:37:27.553084,2023-10-29 20:37:27.558593,3436,3714,58 days 23:00:00.005509,1415.0000015302778,31,29
V0125,2023-09-03 21:37:27.553084,2023-10-20 11:37:27.558593,4178,3804,46 days 14:00:00.005509,1118.0000015302778,3,20
V0126,2023-09-17 16:37:27.553084,2023-10-23 20:37:27.558593,4491,2641,36 days 04:00:00.005509,868.0000015302777,17,23
V0127,2023-09-30 04:37:27.553084,2023-10-23 12:37:27.558593,3826,1659,23 days 08:00:00.005509,560.0000015302778,30,23
V0128,2023-09-06 12:37:27.554084,2023-10-05 10:37:27.558593,2662,2651,28 days 22:00:00.004509,694.0000012525,6,5
V0129,2023-09-20 18:37:27.554084,2023-10-24 23:37:27.558593,3055,165,34 days 05:00:00.004509,821.0000012525,20,24
V0130,2023-09-22 02:37:27.554084,2023-10-02 07:37:27.558593,3568,2596,10 days 05:00:00.004509,245.0000012525,22,2
V0131,2023-09-16 08:37:27.554084,2023-10-24 09:37:27.558593,1416,393,38 days 01:00:00.004509,913.0000012525,16,24
V0132,2023-09-12 17:37:27.554084,2023-10-20 07:37:27.558593,4278,4136,37 days 14:00:00.004509,902.0000012525,12,20
V0133,2023-09-01 14:37:27.554084,2023-10-24 05:37:27.558593,4557,2275,52 days 15:00:00.004509,1263.0000012525,1,24
V0134,2023-09-23 06:37:27.554084,2023-10-21 21:37:27.558593,4399,763,28 days 15:00:00.004509,687.0000012525,23,21
V0135,2023-09-23 14:37:27.554084,2023-10-26 07:37:27.558593,1898,812,32 days 17:00:00.004509,785.0000012525,23,26
V0136,2023-09-11 01:37:27.554084,2023-10-08 01:37:27.558593,4087,3175,27 days 00:00:00.004509,648.0000012525,11,8
V0137,2023-09-22 15:37:27.554084,2023-10-07 22:37:27.558593,3389,3882,15 days 07:00:00.004509,367.00000125250006,22,7
V0138,2023-09-25 16:37:27.554084,2023-11-02 11:37:27.558593,400,3909,37 days 19:00:00.004509,907.0000012525,25,2
V0139,2023-09-26 22:37:27.554084,2023-10-11 08:37:27.558593,2899,4138,14 days 10:00:00.004509,346.00000125250006,26,11
V0140,2023-09-25 07:37:27.554084,2023-10-12 22:37:27.558593,2512,4474,17 days 15:00:00.004509,423.00000125250006,25,12
V0141,2023-08-30 23:37:27.554084,2023-10-29 19:37:27.558593,2036,2109,59 days 20:00:00.004509,1436.0000012525,30,29
V0142,2023-09-06 19:37:27.554084,2023-10-14 18:37:27.558593,3864,3093,37 days 23:00:00.004509,911.0000012525,6,14
V0143,2023-09-16 10:37:27.554084,2023-10-09 10:37:27.558593,2023,3700,23 days 00:00:00.004509,552.0000012525,16,9
V0144,2023-09-08 14:37:27.554084,2023-10-24 22:37:27.558593,1691,2914,46 days 08:00:00.004509,1112.0000012525,8,24
V0145,2023-09-14 09:37:27.554084,2023-10-29 23:37:27.558593,772,4521,45 days 14:00:00.004509,1094.0000012525,14,29
V0146,2023-09-26 12:37:27.554084,2023-10-22 04:37:27.558593,4104,4543,25 days 16:00:00.004509,616.0000012525,26,22
V0147,2023-09-19 17:37:27.554084,2023-10-22 20:37:27.558593,3109,620,33 days 03:00:00.004509,795.0000012525,19,22
V0148,2023-09-12 04:37:27.554084,2023-11-01 20:37:27.558593,1798,3030,50 days 16:00:00.004509,1216.0000012525,12,1
V0149,2023-10-01 02:37:27.554084,2023-10-12 21:37:27.558593,4098,3286,11 days 19:00:00.004509,283.0000012525,1,12
V0150,2023-09-03 06:37:27.554084,2023-10-20 18:37:27.558593,213,2236,47 days 12:00:00.004509,1140.0000012525,3,20
V0151,2023-09-25 21:37:27.554084,2023-10-12 01:37:27.558593,2646,803,16 days 04:00:00.004509,388.00000125250006,25,12
V0152,2023-09-13 10:37:27.554084,2023-10-15 13:37:27.558593,2056,4482,32 days 03:00:00.004509,771.0000012525,13,15
V0153,2023-09-28 06:37:27.554084,2023-10-23 13:37:27.558593,1606,3673,25 days 07:00:00.004509,607.0000012525,28,23
V0154,2023-09-15 08:37:27.554084,2023-10-06 03:37:27.558593,2727,1124,20 days 19:00:00.004509,499.00000125250006,15,6
V0155,2023-09-30 05:37:27.554084,2023-10-10 14:37:27.558593,4256,3875,10 days 09:00:00.004509,249.0000012525,30,10
V0156,2023-09-19 20:37:27.554084,2023-11-02 15:37:27.558593,1855,1293,43 days 19:00:00.004509,1051.0000012525,19,2
V0157,2023-09-29 08:37:27.554084,2023-10-12 00:37:27.558593,162,2904,12 days 16:00:00.004509,304.00000125250006,29,12
V0158,2023-09-25 03:37:27.554084,2023-10-10 19:37:27.558593,3254,430,15 days 16:00:00.004509,376.00000125250006,25,10
V0159,2023-09-23 09:37:27.554084,2023-10-02 13:37:27.558593,352,2418,9 days 04:00:00.004509,220.0000012525,23,2
V0160,2023-08-30 14:37:27.554084,2023-10-07 01:37:27.558593,4199,4054,37 days 11:00:00.004509,899.0000012525,30,7
V0161,2023-09-09 07:37:27.554084,2023-10-11 14:37:27.558593,2758,4049,32 days 07:00:00.004509,775.0000012525,9,11
V0162,2023-09-10 04:37:27.554084,2023-10-30 13:37:27.558593,4569,1338,50 days 09:00:00.004509,1209.0000012525,10,30
V0163,2023-09-22 13:37:27.554084,2023-11-01 14:37:27.558593,4463,1119,40 days 01:00:00.004509,961.0000012525,22,1
V0164,2023-08-29 03:37:27.554084,2023-10-31 13:37:27.558593,2700,3871,63 days 10:00:00.004509,1522.0000012525,29,31
V0165,2023-09-10 00:37:27.554084,2023-10-20 06:37:27.558593,2850,312,40 days 06:00:00.004509,966.0000012525,10,20
V0166,2023-09-08 14:37:27.554084,2023-11-01 13:37:27.558593,4205,2006,53 days 23:00:00.004509,1295.0000012525,8,1
V0167,2023-09-11 18:37:27.554084,2023-10-31 15:37:27.558593,3784,4372,49 days 21:00:00.004509,1197.0000012525,11,31
V0168,2023-09-07 01:37:27.554084,2023-11-03 07:37:27.558593,306,3235,57 days 06:00:00.004509,1374.0000012525,7,3
V0169,2023-09-06 22:37:27.554084,2023-10-04 18:37:27.558593,1532,2348,27 days 20:00:00.004509,668.0000012525,6,4
V0170,2023-09-30 16:37:27.554084,2023-10-14 23:37:27.558593,794,2239,14 days 07:00:00.004509,343.00000125250006,30,14
V0171,2023-09-01 11:37:27.554084,2023-11-01 05:37:27.558593,1715,380,60 days 18:00:00.004509,1458.0000012525,1,1
V0172,2023-09-27 23:37:27.554084,2023-10-24 12:37:27.558593,537,3687,26 days 13:00:00.004509,637.0000012525,27,24
V0173,2023-09-23 15:37:27.554084,2023-11-01 15:37:27.558593,2071,443,39 days 00:00:00.004509,936.0000012525,23,1
V0174,2023-09-24 16:37:27.554084,2023-10-28 17:37:27.558593,2200,2308,34 days 01:00:00.004509,817.0000012525,24,28
V0175,2023-09-07 22:37:27.554084,2023-10-29 03:37:27.558593,3152,861,51 days 05:00:00.004509,1229.0000012525,7,29
V0176,2023-09-16 16:37:27.554084,2023-10-10 09:37:27.558593,248,4468,23 days 17:00:00.004509,569.0000012525,16,10
V0177,2023-09-04 00:37:27.554084,2023-10-14 23:37:27.558593,823,1328,40 days 23:00:00.004509,983.0000012525,4,14
V0178,2023-09-29 03:37:27.554084,2023-10-27 21:37:27.558593,4288,203,28 days 18:00:00.004509,690.0000012525,29,27
V0179,2023-09-04 14:37:27.554084,2023-10-05 04:37:27.558593,4181,2830,30 days 14:00:00.004509,734.0000012525,4,5
V0180,2023-09-21 02:37:27.554084,2023-10-12 06:37:27.558593,2998,3759,21 days 04:00:00.004509,508.00000125250006,21,12
V0181,2023-08-31 17:37:27.554084,2023-10-23 06:37:27.558593,3439,3768,52 days 13:00:00.004509,1261.0000012525,31,23
V0182,2023-09-28 12:37:27.554084,2023-10-07 20:37:27.558593,2157,1698,9 days 08:00:00.004509,224.0000012525,28,7
V0183,2023-09-14 23:37:27.554084,2023-10-13 00:37:27.558593,2914,3681,28 days 01:00:00.004509,673.0000012525,14,13
V0184,2023-09-25 20:37:27.554084,2023-10-16 13:37:27.558593,2211,343,20 days 17:00:00.004509,497.00000125250006,25,16
V0185,2023-09-30 04:37:27.554084,2023-10-07 02:37:27.558593,1217,3395,6 days 22:00:00.004509,166.0000012525,30,7
V0186,2023-09-27 08:37:27.554084,2023-11-02 02:37:27.558593,4092,3541,35 days 18:00:00.004509,858.0000012525,27,2
V0187,2023-09-18 05:37:27.554084,2023-10-08 04:37:27.558593,4500,191,19 days 23:00:00.004509,479.00000125250006,18,8
V0188,2023-09-28 19:37:27.554084,2023-10-04 12:37:27.558593,1063,2229,5 days 17:00:00.004509,137.0000012525,28,4
V0189,2023-09-07 17:37:27.554084,2023-10-09 00:37:27.558593,4432,1906,31 days 07:00:00.004509,751.0000012525,7,9
V0190,2023-09-17 23:37:27.554084,2023-10-03 13:37:27.558593,1267,2805,15 days 14:00:00.004509,374.00000125250006,17,3
V0191,2023-09-20 22:37:27.554084,2023-11-03 03:37:27.558593,2555,2592,43 days 05:00:00.004509,1037.0000012525,20,3
V0192,2023-09-04 23:37:27.554084,2023-10-22 21:37:27.558593,2336,1311,47 days 22:00:00.004509,1150.0000012525,4,22
V0193,2023-08-30 19:37:27.554084,2023-10-08 19:37:27.559594,398,4021,39 days 00:00:00.005510,936.0000015305556,30,8
V0194,2023-09-08 07:37:27.554084,2023-10-26 22:37:27.559594,3584,4334,48 days 15:00:00.005510,1167.0000015305554,8,26
V0195,2023-09-24 16:37:27.554084,2023-10-28 18:37:27.559594,3005,3479,34 days 02:00:00.005510,818.0000015305556,24,28
V0196,2023-09-07 15:37:27.554084,2023-10-24 20:37:27.559594,4491,2467,47 days 05:00:00.005510,1133.0000015305557,7,24
V0197,2023-09-06 09:37:27.554084,2023-10-27 06:37:27.559594,3196,2651,50 days 21:00:00.005510,1221.0000015305554,6,27
V0198,2023-08-29 14:37:27.554084,2023-10-27 08:37:27.559594,3624,2869,58 days 18:00:00.005510,1410.0000015305554,29,27
V0199,2023-09-19 11:37:27.554084,2023-10-05 13:37:27.559594,4536,4302,16 days 02:00:00.005510,386.00000153055555,19,5
V0200,2023-09-04 17:37:27.554084,2023-10-13 08:37:27.559594,26,385,38 days 15:00:00.005510,927.0000015305556,4,13
V0201,2023-09-06 18:37:27.554084,2023-10-02 22:37:27.559594,2147,3974,26 days 04:00:00.005510,628.0000015305556,6,2
V0202,2023-09-27 16:37:27.554084,2023-10-14 20:37:27.559594,2340,4068,17 days 04:00:00.005510,412.00000153055555,27,14
V0203,2023-09-07 02:37:27.554084,2023-10-09 01:37:27.559594,3952,2339,31 days 23:00:00.005510,767.0000015305556,7,9
V0204,2023-09-10 03:37:27.554084,2023-10-04 20:37:27.559594,2104,618,24 days 17:00:00.005510,593.0000015305556,10,4
V0205,2023-09-16 12:37:27.554084,2023-10-20 08:37:27.559594,3173,3668,33 days 20:00:00.005510,812.0000015305556,16,20
V0206,2023-09-07 09:37:27.554084,2023-10-12 22:37:27.559594,1322,1347,35 days 13:00:00.005510,853.0000015305556,7,12
V0207,2023-09-28 21:37:27.554084,2023-10-05 09:37:27.559594,1623,1682,6 days 12:00:00.005510,156.00000153055558,28,5
